order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,payment_value,delivery_days,anomaly_score,is_anomaly
000576fe39319847cbb9d288c5617fa6,1,557d850972a7d6f792fd18ae1400d9b6,5996cddab893a4652a15592fb58ab8db,2018-07-10 12:30:45,810.0,70.75,880.75,5.0,-1,True
0017afd5076e074a48f1f1a4c7bac9c5,1,fe59a1e006df3ac42bf0ceb876d70969,25c5c91f63607446a97b143d2d535d31,2017-04-24 22:25:19,809.1,44.29,853.39,46.0,-1,True
00ab9fa91aafa3d881164b0da48999aa,1,224037b21bfa8621e39c265513ee6594,ceaec5548eefc6e23e6607c5435102e7,2018-06-04 09:50:04,579.0,65.34,644.34,12.0,-1,True
00c9474e0334f7a4ffc8c3a8bd21a51e,1,4b2653088591de362e6ba85b4a474c75,610f72e407cdd7caaa2f8167b0163fd8,2018-05-10 15:50:46,1050.61,25.13,1075.74,12.0,-1,True
00d2559e61b9a0744a0552c35c5ecccb,1,44fc450365728c413fefc547592626be,b839e41795b7f3ad94cc2014a52f6796,2018-06-13 12:57:03,849.0,23.52,872.52,7.0,-1,True
00d88c00221ce96a1cfcaca9f2fceb3b,1,7814c273ab16783d73a9863ebfa8b141,1025f0e2d44d7041d6cf58b6550e0bfa,2018-03-15 23:15:29,250.0,97.56,347.56,21.0,-1,True
0110688c40ff035d672af3aac1f38f10,1,79c0ace2ccf0da036e787875a49151a4,b32be1695eb7ec5f10f72d9610a12527,2018-02-07 14:33:45,379.0,79.94,458.94,26.0,-1,True
011108c8a3d6eee6807f48a2e639439f,1,ea11e700a343582ad56e4c70e966cb36,01cf7e3d21494c41fb86034f2e714fa1,2017-05-02 17:42:48,593.36,98.13,691.49,23.0,-1,True
011a43bc9bb525517251ebb3ebc99b69,1,ca7966fa77959536468be3c6ce1f19e1,610f72e407cdd7caaa2f8167b0163fd8,2018-05-03 18:09:38,899.0,21.2,920.2,4.0,-1,True
012f2c4ca09b101a73e18957c3294cd6,1,a9e9edb1bcac585bfbfa381ce40e5d99,06532f10282704ef4c69168b914b77be,2017-05-11 22:35:11,1820.0,81.62,1901.62,7.0,-1,True
015fb6b5f739788434fa690540f90f19,1,a0eccc912d428eaddf1ef4fe47593ece,8a87611c08849ffeeccab52aa798b6c7,2017-02-04 13:06:05,143.0,94.98,475.96,,-1,True
015fb6b5f739788434fa690540f90f19,2,a0eccc912d428eaddf1ef4fe47593ece,8a87611c08849ffeeccab52aa798b6c7,2017-02-04 13:06:05,143.0,94.98,475.96,,-1,True
0191ee5deb2474bc1f4189fa709289b2,1,01a88bd2633c52bcc66348307cb3ae15,2b1a40c1daabc6ca280c4b815c101841,2018-06-22 12:31:17,359.98,85.59,891.14,10.0,-1,True
